City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Total Internet Services,Contract,Payment Method,Total Charges,Churn Value
Tujunga,Female,0,1,1,2,1,1,Fiber optic,4,Month-to-month,Electronic check,242.8,1
Pasadena,Female,0,1,0,53,1,0,Fiber optic,3,One year,Bank transfer (automatic),5000.2,1
Pasadena,Female,1,0,1,15,1,1,Fiber optic,0,Month-to-month,Mailed check,1145.7,1
Pasadena,Female,1,0,1,7,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),503.6,1
Glendale,Female,0,0,0,1,0,0,DSL,1,Month-to-month,Bank transfer (automatic),29.95,1
Glendale,Male,0,0,1,8,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),662.65,1
Glendale,Female,0,0,1,13,1,0,Fiber optic,2,Month-to-month,Electronic check,1111.65,1
Glendale,Female,0,1,0,1,0,0,DSL,0,Month-to-month,Electronic check,24.8,1
Canoga Park,Male,0,1,1,6,1,0,Fiber optic,3,Month-to-month,Electronic check,531.0,1
Mission Hills,Male,0,0,1,1,1,0,Fiber optic,1,Month-to-month,Electronic check,79.9,1
Santa Clarita,Female,0,0,1,19,1,0,Fiber optic,5,Month-to-month,Electronic check,1934.45,1
Sun Valley,Male,0,0,0,2,1,0,DSL,0,Month-to-month,Credit card (automatic),84.5,1
Stevenson Ranch,Female,0,0,1,4,1,0,Fiber optic,0,Month-to-month,Electronic check,268.35,1
Panorama City,Male,0,1,0,4,1,0,DSL,1,Month-to-month,Mailed check,179.35,1
Van Nuys,Female,0,1,0,1,1,0,DSL,1,Month-to-month,Mailed check,55.2,1
Burbank,Male,0,0,1,1,1,0,Fiber optic,2,Month-to-month,Mailed check,84.6,1
North Hollywood,Male,0,0,0,2,1,1,DSL,1,Month-to-month,Mailed check,114.1,1
North Hollywood,Female,1,0,1,11,1,0,Fiber optic,3,Month-to-month,Electronic check,1120.3,1
Covina,Male,1,0,0,15,1,0,Fiber optic,1,Month-to-month,Electronic check,1074.3,1
Covina,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Mailed check,48.55,1
El Monte,Female,0,1,0,2,1,0,Fiber optic,0,Month-to-month,Electronic check,147.15,1
El Monte,Male,1,1,0,1,0,0,DSL,2,Month-to-month,Electronic check,40.2,1
La Puente,Female,0,1,0,2,1,0,DSL,0,Month-to-month,Credit card (automatic),80.55,1
La Puente,Male,1,0,0,3,0,0,DSL,2,Month-to-month,Electronic check,132.2,1
Rowland Heights,Male,1,0,0,13,1,1,Fiber optic,4,Month-to-month,Electronic check,1364.3,1
Ontario,Male,0,0,0,59,1,0,0,0,Two year,Mailed check,1099.6,1
Ontario,Female,1,0,0,16,1,0,Fiber optic,3,Month-to-month,Electronic check,1511.2,1
Pomona,Male,0,0,0,1,0,0,DSL,0,Month-to-month,Bank transfer (automatic),24.8,1
Pomona,Male,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,70.6,1
Rosemead,Male,0,1,0,5,1,1,Fiber optic,2,Month-to-month,Electronic check,401.1,1
San Dimas,Female,0,1,0,52,1,1,Fiber optic,4,Month-to-month,Electronic check,5624.85,1
West Covina,Male,0,1,0,18,1,0,Fiber optic,3,Month-to-month,Mailed check,1779.95,1
Alhambra,Male,0,1,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,70.0,1
Alpine,Male,1,0,0,8,1,0,Fiber optic,1,Month-to-month,Electronic check,606.55,1
Bonita,Male,0,0,0,10,1,0,DSL,0,Month-to-month,Credit card (automatic),435.4,1
Boulevard,Male,1,0,0,24,1,1,Fiber optic,0,Month-to-month,Electronic check,1712.7,1
Guatay,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Mailed check,73.6,1
Jacumba,Female,1,0,0,4,1,1,Fiber optic,2,Month-to-month,Electronic check,396.1,1
Mount Laguna,Male,1,1,0,32,1,1,Fiber optic,0,Month-to-month,Electronic check,2303.35,1
Borrego Springs,Male,0,0,0,5,1,0,Fiber optic,1,Month-to-month,Electronic check,415.55,1
Carlsbad,Female,0,1,0,38,1,0,DSL,5,One year,Credit card (automatic),3058.65,1
Del Mar,Male,1,1,0,24,1,0,Fiber optic,3,Month-to-month,Electronic check,2231.05,1
El Cajon,Female,1,0,0,54,1,1,DSL,5,One year,Bank transfer (automatic),4350.1,1
Escondido,Female,1,0,0,2,1,0,Fiber optic,0,Month-to-month,Electronic check,139.05,1
Oceanside,Female,0,0,0,7,1,1,Fiber optic,0,Month-to-month,Electronic check,511.25,1
Pala,Female,0,0,0,2,1,1,Fiber optic,1,Month-to-month,Mailed check,155.8,1
Palomar Mountain,Male,0,1,0,68,1,1,DSL,4,One year,Bank transfer (automatic),5293.95,1
Pauma Valley,Female,0,0,0,43,1,1,Fiber optic,4,Two year,Electronic check,4759.85,1
Ranchita,Male,0,1,0,63,1,1,Fiber optic,4,Month-to-month,Electronic check,6603.0,1
Valley Center,Female,0,0,0,2,1,0,Fiber optic,2,Month-to-month,Electronic check,168.2,1
San Diego,Male,0,1,0,4,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),371.9,1
San Diego,Female,1,0,0,21,0,0,DSL,2,Month-to-month,Electronic check,840.1,1
San Diego,Female,0,0,0,10,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),846.0,1
San Diego,Male,1,1,0,27,0,0,DSL,1,Month-to-month,Credit card (automatic),805.1,1
San Diego,Male,0,0,0,5,1,0,Fiber optic,3,Month-to-month,Bank transfer (automatic),492.55,1
San Diego,Male,0,0,0,2,1,1,Fiber optic,1,Month-to-month,Electronic check,181.5,1
San Diego,Female,0,1,0,25,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),2566.5,1
San Diego,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Mailed check,50.65,1
Indio,Male,0,0,0,1,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),90.85,1
Indian Wells,Male,1,1,0,11,1,0,0,0,Month-to-month,Mailed check,214.75,1
Palm Desert,Female,1,1,0,55,1,1,Fiber optic,2,Month-to-month,Electronic check,4874.7,1
Desert Hot Springs,Female,0,0,0,34,1,0,Fiber optic,1,Month-to-month,Credit card (automatic),2524.45,1
Holtville,Male,0,1,0,69,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),7007.6,1
Niland,Female,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.9,1
North Palm Springs,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.6,1
Ocotillo,Male,1,0,0,3,1,1,Fiber optic,1,Month-to-month,Electronic check,233.7,1
Seeley,Female,0,1,0,22,1,0,Fiber optic,2,Month-to-month,Electronic check,1845.9,1
Thermal,Female,1,0,0,1,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),75.3,1
Adelanto,Female,0,1,0,61,1,0,0,0,Month-to-month,Mailed check,1182.55,1
Apple Valley,Male,0,0,0,12,1,0,DSL,0,Month-to-month,Bank transfer (automatic),518.9,1
Crestline,Female,0,0,0,60,1,1,Fiber optic,4,Month-to-month,Electronic check,6396.45,1
Daggett,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,69.55,1
Ludlow,Female,0,1,0,28,1,0,Fiber optic,1,Month-to-month,Electronic check,2227.1,1
Lucerne Valley,Male,0,1,0,4,1,1,Fiber optic,3,Month-to-month,Electronic check,385.9,1
Lytle Creek,Male,0,0,0,7,1,1,Fiber optic,3,Month-to-month,Electronic check,673.25,1
Phelan,Female,0,1,0,13,1,0,DSL,1,Month-to-month,Electronic check,734.35,1
Redlands,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Electronic check,55.0,1
Rialto,Female,0,1,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,74.7,1
Running Springs,Male,0,0,0,24,1,1,Fiber optic,1,Month-to-month,Electronic check,1861.5,1
Tecopa,Male,0,0,0,5,1,0,Fiber optic,3,Month-to-month,Electronic check,453.4,1
Victorville,Female,0,0,0,15,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),994.8,1
Wrightwood,Female,0,1,0,48,0,0,DSL,3,Month-to-month,Bank transfer (automatic),2145.0,1
San Bernardino,Female,0,1,0,8,1,0,Fiber optic,2,Month-to-month,Electronic check,680.05,1
San Bernardino,Male,0,0,0,1,1,1,Fiber optic,0,Month-to-month,Electronic check,74.35,1
Riverside,Female,0,1,0,2,1,0,Fiber optic,1,Month-to-month,Electronic check,139.4,1
Riverside,Male,0,0,0,22,0,0,DSL,3,One year,Bank transfer (automatic),903.6,1
Riverside,Female,1,0,0,5,0,0,DSL,1,Month-to-month,Electronic check,131.05,1
March Air Reserve Base,Female,0,0,0,12,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),1238.45,1
Hemet,Female,1,0,0,20,1,1,Fiber optic,3,Month-to-month,Electronic check,1782.4,1
Homeland,Male,0,1,0,2,1,0,Fiber optic,3,Month-to-month,Electronic check,167.5,1
Idyllwild,Female,0,1,0,6,1,1,Fiber optic,1,Month-to-month,Electronic check,502.85,1
Moreno Valley,Female,1,1,0,5,1,1,Fiber optic,0,Month-to-month,Electronic check,334.8,1
Murrieta,Male,0,0,0,40,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),4131.95,1
Perris,Female,1,1,0,27,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),1929.35,1
Sun City,Female,0,0,0,23,1,1,Fiber optic,0,Month-to-month,Bank transfer (automatic),1758.6,1
Sun City,Male,0,1,0,34,1,1,Fiber optic,3,Month-to-month,Electronic check,3480.0,1
Irvine,Female,0,0,0,1,1,1,Fiber optic,1,Month-to-month,Electronic check,85.0,1
Lake Forest,Male,0,0,0,10,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),834.1,1
Huntington Beach,Male,0,0,0,13,0,0,DSL,3,Month-to-month,Credit card (automatic),597.0,1
Huntington Beach,Male,0,1,0,39,1,0,Fiber optic,2,Month-to-month,Mailed check,3266.0,1
Newport Beach,Male,0,0,0,32,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),2596.15,1
Santa Ana,Female,0,0,0,35,1,1,Fiber optic,3,Month-to-month,Electronic check,3527.6,1
Santa Ana,Male,0,1,0,56,1,1,Fiber optic,3,One year,Credit card (automatic),5614.45,1
Anaheim,Female,0,1,0,12,1,0,0,0,Month-to-month,Mailed check,233.55,1
Anaheim,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Mailed check,75.3,1
Anaheim,Female,1,0,0,4,1,1,Fiber optic,2,Month-to-month,Electronic check,346.2,1
Brea,Female,1,0,0,1,1,1,Fiber optic,1,Month-to-month,Electronic check,85.7,1
Norco,Female,0,0,0,12,1,1,DSL,3,Month-to-month,Mailed check,713.75,1
Yorba Linda,Female,1,1,0,65,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),6786.4,1
Ventura,Male,0,1,0,9,0,0,DSL,1,Month-to-month,Electronic check,248.95,1
Ventura,Female,0,1,0,9,1,0,DSL,4,Month-to-month,Mailed check,663.05,1
Port Hueneme,Female,0,0,0,7,1,0,0,0,Month-to-month,Bank transfer (automatic),137.6,1
Summerland,Male,1,1,0,49,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),4547.25,1
Santa Barbara,Male,1,1,0,43,1,1,Fiber optic,5,Month-to-month,Bank transfer (automatic),4687.9,1
Santa Barbara,Female,0,1,0,65,1,1,Fiber optic,4,Month-to-month,Electronic check,6985.65,1
Alpaugh,Male,1,1,0,56,1,1,Fiber optic,4,One year,Bank transfer (automatic),5794.65,1
Armona,Male,0,1,0,10,1,1,Fiber optic,1,Month-to-month,Electronic check,855.3,1
Avenal,Female,0,1,0,43,1,0,DSL,1,Month-to-month,Electronic check,2499.3,1
Bodfish,Male,0,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,89.55,1
Camp Nelson,Male,1,1,0,20,1,1,Fiber optic,2,Month-to-month,Electronic check,1899.65,1
Coalinga,Male,0,0,0,1,1,0,DSL,0,Month-to-month,Mailed check,45.7,1
Delano,Female,1,0,0,2,1,1,Fiber optic,2,Month-to-month,Electronic check,161.5,1
Earlimart,Female,0,0,0,3,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),222.3,1
Exeter,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Mailed check,74.6,1
Fellows,Female,1,0,0,8,1,0,0,0,Month-to-month,Electronic check,164.3,1
Huron,Male,0,1,0,2,1,0,0,0,One year,Mailed check,35.9,1
Kernville,Female,0,0,0,4,0,0,DSL,0,Month-to-month,Mailed check,96.05,1
Lemon Cove,Female,0,0,0,2,1,0,Fiber optic,0,Month-to-month,Electronic check,145.15,1
Lindsay,Female,0,0,0,4,1,0,DSL,0,Month-to-month,Mailed check,191.05,1
Maricopa,Female,0,0,0,1,1,1,Fiber optic,0,Month-to-month,Mailed check,75.05,1
Onyx,Male,1,0,0,52,0,0,DSL,3,Month-to-month,Electronic check,2550.9,1
Posey,Female,0,0,0,2,0,0,DSL,1,Month-to-month,Electronic check,62.25,1
Shafter,Male,0,1,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,80.0,1
Tipton,Male,1,0,0,2,1,0,DSL,1,Month-to-month,Electronic check,91.1,1
Wofford Heights,Female,0,0,0,3,1,1,Fiber optic,0,Month-to-month,Credit card (automatic),270.7,1
Visalia,Male,0,1,0,3,1,0,DSL,1,Month-to-month,Electronic check,168.15,1
Bakersfield,Female,0,0,0,25,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),2015.35,1
San Luis Obispo,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.55,1
Lompoc,Female,0,1,0,4,1,1,Fiber optic,1,Month-to-month,Electronic check,381.3,1
Lompoc,Male,0,0,0,3,1,0,DSL,0,Month-to-month,Electronic check,141.5,1
Los Alamos,Male,1,1,0,33,1,1,Fiber optic,2,Month-to-month,Electronic check,3105.55,1
Oceano,Female,1,0,0,30,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),2758.15,1
Pismo Beach,Female,0,0,0,45,1,1,Fiber optic,2,Month-to-month,Electronic check,3941.7,1
Mojave,Male,0,0,0,10,1,1,Fiber optic,3,Month-to-month,Electronic check,1008.55,1
Johannesburg,Male,1,0,0,20,1,1,Fiber optic,3,Month-to-month,Electronic check,1842.8,1
Keene,Female,0,0,0,15,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),1269.55,1
Lancaster,Female,0,0,0,22,1,0,Fiber optic,2,Month-to-month,Electronic check,1907.85,1
Lancaster,Male,0,1,0,3,1,0,Fiber optic,0,Month-to-month,Electronic check,208.85,1
Palmdale,Male,0,0,0,15,1,1,Fiber optic,2,Month-to-month,Electronic check,1444.65,1
Pearblossom,Female,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.9,1
Randsburg,Female,0,1,0,5,1,0,Fiber optic,3,Month-to-month,Mailed check,454.15,1
Ridgecrest,Male,0,1,0,33,1,0,Fiber optic,3,One year,Electronic check,3036.75,1
Trona,Male,0,0,0,2,1,1,Fiber optic,1,Month-to-month,Electronic check,184.65,1
Palmdale,Male,0,0,0,2,1,0,DSL,0,Month-to-month,Electronic check,89.5,1
Bass Lake,Female,0,0,0,1,1,0,DSL,1,Month-to-month,Electronic check,52.2,1
Biola,Female,1,0,0,46,1,1,Fiber optic,5,One year,Electronic check,4874.8,1
Five Points,Male,0,0,0,62,1,1,Fiber optic,3,One year,Electronic check,6125.4,1
Friant,Female,0,0,0,10,1,1,Fiber optic,3,Month-to-month,Electronic check,1058.25,1
Kerman,Male,0,0,0,6,1,0,Fiber optic,2,Month-to-month,Electronic check,489.45,1
Madera,Male,0,1,0,40,1,1,Fiber optic,3,Month-to-month,Electronic check,4113.1,1
Madera,Male,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.55,1
Mendota,Male,0,0,0,58,1,1,Fiber optic,4,One year,Bank transfer (automatic),6017.65,1
Miramonte,Male,0,0,0,70,1,1,Fiber optic,4,Two year,Credit card (automatic),7250.15,1
Orosi,Female,0,0,0,2,1,0,Fiber optic,2,Month-to-month,Mailed check,178.7,1
Fresno,Male,0,1,0,21,1,1,Fiber optic,5,Month-to-month,Electronic check,2317.1,1
San Joaquin,Female,0,1,0,16,1,0,Fiber optic,3,Month-to-month,Credit card (automatic),1430.25,1
Selma,Male,1,1,0,7,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),644.35,1
South Dos Palos,Male,0,1,0,60,1,0,Fiber optic,3,One year,Electronic check,5453.4,1
Tollhouse,Female,0,1,0,50,1,1,Fiber optic,5,One year,Electronic check,5610.7,1
Squaw Valley,Female,1,0,0,4,1,0,Fiber optic,1,Month-to-month,Electronic check,292.8,1
Fresno,Male,0,0,0,1,1,0,DSL,0,Month-to-month,Mailed check,44.4,1
Fresno,Female,1,0,0,55,1,1,Fiber optic,3,One year,Electronic check,5509.3,1
Fresno,Female,0,1,0,12,1,0,0,0,One year,Bank transfer (automatic),229.6,1
Fresno,Male,0,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,89.9,1
Big Sur,Female,0,0,0,62,1,1,Fiber optic,3,One year,Electronic check,6413.65,1
Carmel,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Electronic check,50.8,1
Jolon,Male,1,1,0,20,1,0,Fiber optic,1,Month-to-month,Electronic check,1463.5,1
King City,Female,0,0,0,3,1,0,Fiber optic,3,Month-to-month,Electronic check,307.4,1
Lockwood,Male,0,0,0,22,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),2104.55,1
Marina,Male,0,1,0,4,1,0,Fiber optic,2,Month-to-month,Mailed check,319.15,1
Pebble Beach,Male,0,1,0,59,1,1,Fiber optic,1,One year,Electronic check,5084.65,1
Belmont,Female,0,0,0,60,0,0,DSL,3,Month-to-month,Electronic check,3027.4,1
Daly City,Female,0,0,0,15,1,0,Fiber optic,5,Month-to-month,Electronic check,1582.75,1
Loma Mar,Male,0,0,0,10,1,0,Fiber optic,6,Month-to-month,Electronic check,1043.3,1
Los Altos,Female,0,0,0,6,1,0,Fiber optic,2,Month-to-month,Electronic check,497.55,1
Mountain View,Female,0,1,0,63,1,1,Fiber optic,4,Month-to-month,Electronic check,6215.35,1
Mountain View,Male,0,1,0,50,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),5017.9,1
Pescadero,Female,0,0,0,1,0,0,DSL,0,Month-to-month,Electronic check,24.6,1
San Bruno,Female,0,0,0,12,1,0,Fiber optic,4,Month-to-month,Bank transfer (automatic),1120.95,1
South San Francisco,Female,0,0,0,9,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),923.5,1
Sunnyvale,Male,0,0,0,17,1,0,Fiber optic,3,Month-to-month,Electronic check,1625.65,1
San Francisco,Male,1,0,0,9,1,1,Fiber optic,3,Month-to-month,Electronic check,918.6,1
San Francisco,Male,1,0,0,10,1,0,Fiber optic,1,Month-to-month,Electronic check,688.65,1
San Francisco,Male,1,1,0,1,1,1,Fiber optic,0,Month-to-month,Electronic check,73.55,1
San Francisco,Female,1,0,0,3,1,1,Fiber optic,1,Month-to-month,Electronic check,205.05,1
San Francisco,Female,0,0,0,13,1,0,Fiber optic,2,Month-to-month,Electronic check,952.3,1
Palo Alto,Female,1,0,0,4,1,1,Fiber optic,1,Month-to-month,Electronic check,360.1,1
San Mateo,Female,0,0,0,6,1,1,Fiber optic,1,Month-to-month,Electronic check,434.5,1
Antioch,Female,0,0,0,3,1,1,Fiber optic,0,Month-to-month,Bank transfer (automatic),215.8,1
Birds Landing,Male,1,0,0,35,1,1,Fiber optic,3,Month-to-month,Electronic check,3395.8,1
Byron,Male,1,0,0,2,1,0,DSL,0,Month-to-month,Mailed check,85.15,1
Concord,Male,0,1,0,1,1,0,DSL,0,Month-to-month,Credit card (automatic),44.7,1
Fremont,Male,0,0,0,1,1,0,DSL,0,Month-to-month,Mailed check,45.7,1
Fremont,Male,1,0,0,8,1,0,Fiber optic,4,Month-to-month,Credit card (automatic),832.35,1
Hayward,Male,0,0,0,7,1,0,0,0,Month-to-month,Electronic check,112.3,1
Hayward,Female,0,0,0,2,1,1,Fiber optic,2,Month-to-month,Electronic check,174.8,1
Castro Valley,Female,0,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,90.55,1
Livermore,Male,1,1,0,44,0,0,DSL,1,Month-to-month,Electronic check,1359.7,1
Martinez,Male,0,0,0,71,1,1,Fiber optic,5,Two year,Electronic check,7532.15,1
Fremont,Male,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.9,1
Napa,Male,1,1,0,62,1,1,Fiber optic,4,One year,Electronic check,6383.35,1
Pinole,Male,0,0,0,1,1,1,Fiber optic,1,Month-to-month,Electronic check,86.6,1
Pleasanton,Female,1,1,0,33,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),2656.5,1
San Leandro,Female,0,0,0,35,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),2917.5,1
San Lorenzo,Female,0,0,0,34,1,0,Fiber optic,0,Month-to-month,Credit card (automatic),2416.1,1
San Ramon,Female,1,0,0,4,1,1,Fiber optic,2,Month-to-month,Electronic check,424.45,1
Union City,Female,0,0,0,7,1,0,Fiber optic,3,Month-to-month,Electronic check,660.9,1
Pleasanton,Male,1,1,0,27,1,1,Fiber optic,0,Month-to-month,Electronic check,1893.95,1
Walnut Creek,Female,0,0,0,18,1,1,Fiber optic,2,Month-to-month,Electronic check,1612.75,1
Walnut Creek,Female,0,0,0,2,1,0,Fiber optic,0,Month-to-month,Electronic check,119.75,1
Walnut Creek,Male,0,1,0,32,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),3204.65,1
Oakland,Male,0,1,0,18,1,0,DSL,2,Month-to-month,Electronic check,990.85,1
Oakland,Male,0,1,0,12,1,0,DSL,1,One year,Credit card (automatic),696.35,1
Berkeley,Male,1,0,0,8,1,1,Fiber optic,3,Month-to-month,Electronic check,819.4,1
Albany,Male,0,1,0,26,1,1,Fiber optic,1,Month-to-month,Electronic check,2070.6,1
Berkeley,Female,1,1,0,3,1,0,Fiber optic,3,Month-to-month,Mailed check,273.75,1
Berkeley,Female,1,0,0,8,1,0,Fiber optic,3,Month-to-month,Electronic check,729.95,1
San Rafael,Male,0,1,0,38,1,0,Fiber optic,2,Month-to-month,Electronic check,3013.05,1
Greenbrae,Male,1,0,0,14,1,0,Fiber optic,2,Month-to-month,Credit card (automatic),1266.1,1
Bodega Bay,Male,0,1,0,32,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),2347.9,1
Cotati,Female,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.65,1
Forest Knolls,Male,1,0,0,12,0,0,DSL,3,Month-to-month,Electronic check,526.95,1
Larkspur,Female,0,0,0,5,0,0,DSL,2,Month-to-month,Electronic check,210.75,1
Marshall,Male,0,1,0,40,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),3706.95,1
Novato,Female,0,0,0,5,1,0,Fiber optic,1,Month-to-month,Electronic check,412.5,1
Nicasio,Female,0,0,0,10,1,0,Fiber optic,2,Month-to-month,Mailed check,832.05,1
Novato,Male,0,1,0,2,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),185.55,1
Novato,Male,0,0,0,23,1,1,Fiber optic,2,Month-to-month,Electronic check,1943.2,1
San Anselmo,Female,0,0,0,23,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),2169.8,1
Sausalito,Male,0,1,0,49,1,1,Fiber optic,3,Month-to-month,Bank transfer (automatic),4853.75,1
Tomales,Female,0,0,0,2,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),144.55,1
