Customer ID,Gender,Age,Married,Number of Dependents,City,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Calculated Charges,Charges Difference,Churn
0017-IUDMW,Female,25,Yes,2,Sunnyvale,2,72,Unknown,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,9609.47,Stayed,Not churned,Not churned,8409.6,47.14999999999964,0.0
0018-NYROU,Female,58,Yes,0,Antelope,0,5,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,444.75,Stayed,Not churned,Not churned,344.75,6.75,0.0
0019-EFAEP,Female,32,No,0,La Mesa,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,7423.25,Stayed,Not churned,Not churned,7293.599999999999,32.349999999999454,0.0
0019-GFNTW,Female,39,No,0,Los Olivos,0,56,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,2560.1,Stayed,Not churned,Not churned,2522.8,37.30000000000018,0.0
0020-INWCK,Female,58,Yes,2,Woodlake,9,71,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,8784.86,Stayed,Not churned,Not churned,6798.25,51.14999999999964,0.0
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,0,34,Unknown,No,Unknown,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,1993.2,Stayed,Not churned,Not churned,2082.5,89.29999999999995,0.0
0021-IKXGC,Female,72,No,0,San Marcos,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,79.87,Joined,Not churned,Not churned,72.1,0.0,
0022-TCJCI,Male,79,No,0,Daly City,0,45,Unknown,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,3271.65,Churned,Dissatisfaction,Limited range of services,2821.5,30.0,1.0
0023-HGHWL,Male,67,No,0,Morgan Hill,0,1,Unknown,No,Unknown,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,25.1,Churned,Competitor,Competitor made better offer,25.1,0.0,1.0
0023-UYUPN,Female,79,Yes,0,Ahwahnee,0,50,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,25.2,1306.3,2877.8,Stayed,Not churned,Not churned,1260.0,46.29999999999996,0.0
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,1,13,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,1781.88,Churned,Other,Don't know,1223.3,7.700000000000045,1.0
0027-KWYKW,Female,30,Yes,2,Alpaugh,1,23,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,2652.88,Stayed,Not churned,Not churned,1926.25,76.29999999999995,0.0
0030-FNXPP,Female,22,No,0,Keeler,0,3,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.85,57.2,66.56,Joined,Not churned,Not churned,59.55,2.3500000000000014,
0031-PVLZI,Female,34,Yes,0,Korbel,0,4,Offer E,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,20.35,76.35,126.07,Churned,Price,Long distance charges,81.4,5.050000000000011,1.0
0032-PGELS,Female,37,Yes,1,Palomar Mountain,1,1,Unknown,No,Unknown,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,30.5,Churned,Attitude,Attitude of service provider,30.5,0.0,1.0
0036-IHMOT,Female,37,Yes,3,Parlier,10,55,Unknown,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,7603.95,Stayed,Not churned,Not churned,5703.5,46.75,0.0
0040-HALCW,Male,42,Yes,3,Modesto,3,54,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,20.4,1090.6,2154.4,Stayed,Not churned,Not churned,1101.6,11.0,0.0
0042-JVWOJ,Male,64,No,0,Glen Ellen,0,26,Offer C,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,19.6,471.85,1430.8,Stayed,Not churned,Not churned,509.6,37.75,0.0
0042-RLHYP,Female,47,Yes,3,Eureka,5,69,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,19.7,1396.9,4045.81,Stayed,Not churned,Not churned,1359.3,37.600000000000136,0.0
0048-LUMLS,Male,23,Yes,3,Moss Beach,1,37,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,4838.92,Stayed,Not churned,Not churned,3374.4,126.84999999999992,0.0
0048-PIHNL,Female,48,Yes,0,Los Angeles,5,49,Offer B,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,20.45,900.9,3330.32,Stayed,Not churned,Not churned,1002.05,101.14999999999998,0.0
0052-YNYOT,Female,28,No,0,Calexico,0,67,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,20.55,1343.4,2861.91,Stayed,Not churned,Not churned,1376.85,33.450000000000045,0.0
0056-EPFBG,Male,33,Yes,1,Redding,4,20,Unknown,No,Unknown,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,825.4,Stayed,Not churned,Not churned,788.0,37.39999999999998,0.0
0057-QBUQH,Female,31,No,3,San Martin,0,43,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,25.1,1070.15,2387.67,Stayed,Not churned,Not churned,1079.3,9.149999999999864,0.0
0058-EVZWM,Female,37,Yes,0,Stockton,2,55,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,5239.0,Stayed,Not churned,Not churned,4939.0,20.600000000000364,0.0
0060-FUALY,Female,60,Yes,0,Los Angeles,4,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,6564.66,Stayed,Not churned,Not churned,5590.25,7.399999999999636,0.0
0064-SUDOG,Female,48,Yes,3,Huntington Park,3,12,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,20.3,224.5,455.86,Stayed,Not churned,Not churned,243.6,19.100000000000023,0.0
0064-YIJGF,Male,60,Yes,3,Yermo,7,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,2611.02,Stayed,Not churned,Not churned,2045.25,116.25,0.0
0067-DKWBL,Male,69,No,0,San Diego,0,2,Unknown,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,179.08,Churned,Competitor,Competitor made better offer,98.5,7.400000000000006,1.0
0068-FIGTF,Female,20,No,0,Fremont,0,27,Offer C,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,3399.52,Stayed,Not churned,Not churned,2111.4,32.45000000000027,0.0
0071-NDAFP,Male,31,Yes,3,Santa Rosa,1,25,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,25.5,630.6,1178.43,Stayed,Not churned,Not churned,637.5,6.899999999999977,0.0
0074-HDKDG,Male,46,Yes,0,San Jose,5,25,Unknown,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,1727.35,Stayed,Not churned,Not churned,1540.0,71.0,0.0
0076-LVEPS,Male,57,No,1,Tujunga,0,29,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,1230.19,Stayed,Not churned,Not churned,1305.0,62.54999999999996,0.0
0078-XZMHT,Male,19,Yes,0,Visalia,5,72,Unknown,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,8646.12,Stayed,Not churned,Not churned,6130.8,185.39999999999964,0.0
0080-EMYVY,Female,64,No,0,Lodi,0,14,Unknown,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,1064.41,Stayed,Not churned,Not churned,720.3000000000001,7.549999999999954,0.0
0080-OROZO,Female,38,No,0,El Portal,0,35,Offer C,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,4806.7,Stayed,Not churned,Not churned,3473.75,58.25,0.0
0082-LDZUE,Male,54,No,0,Calistoga,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,87.25,Joined,Not churned,Not churned,44.3,0.0,
0082-OQIQY,Male,50,No,0,Farmington,0,29,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,2687.05,Stayed,Not churned,Not churned,2731.8,124.20000000000029,0.0
0083-PIVIK,Male,25,No,0,Tulelake,0,64,Unknown,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,5958.91,Stayed,Not churned,Not churned,5200.0,367.5500000000002,0.0
0089-IIQKO,Female,35,Yes,3,Coleville,1,39,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,4718.22,Stayed,Not churned,Not churned,3898.05,130.6500000000001,0.0
0093-EXYQL,Female,72,No,0,Ojai,0,40,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,5439.2,Stayed,Not churned,Not churned,3662.0,11.599999999999907,0.0
0093-XWZFY,Male,51,No,0,Desert Hot Springs,0,40,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,5544.45,Churned,Competitor,Competitor had better devices,4180.0,143.1500000000001,1.0
0094-OIFMO,Female,78,No,1,North Hollywood,0,11,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,1367.79,Churned,Dissatisfaction,Product dissatisfaction,1045.0,75.29999999999995,1.0
0096-BXERS,Female,30,Yes,0,Inverness,10,6,Offer E,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,570.51,Stayed,Not churned,Not churned,302.1,12.449999999999989,0.0
0096-FCPUF,Male,58,No,0,Santa Rosa,0,30,Unknown,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,1967.65,Stayed,Not churned,Not churned,1935.0,46.54999999999996,0.0
0098-BOWSO,Male,26,No,0,San Jose,0,27,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,1087.62,Stayed,Not churned,Not churned,523.8,6.0,0.0
0103-CSITQ,Female,20,Yes,0,Modesto,10,57,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,6709.27,Stayed,Not churned,Not churned,6235.8,16.899999999999636,0.0
0104-PPXDV,Male,61,Yes,0,San Diego,10,58,Unknown,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,3933.78,Stayed,Not churned,Not churned,2917.4,38.849999999999454,0.0
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,0,16,Unknown,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,1623.46,Stayed,Not churned,Not churned,1142.4,69.69999999999982,0.0
0107-WESLM,Male,32,No,0,West Point,0,1,Offer E,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,51.62,Churned,Attitude,Attitude of support person,19.85,0.0,1.0
0107-YHINA,Male,59,No,0,Los Angeles,0,1,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,140.46,Churned,Competitor,Competitor had better devices,99.75,0.0,1.0
0111-KLBQG,Male,71,Yes,1,Morongo Valley,9,32,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,3880.97,Stayed,Not churned,Not churned,3006.4,144.95000000000027,0.0
0112-QAWRZ,Male,49,Yes,2,Palo Verde,8,16,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,2221.56,Stayed,Not churned,Not churned,1452.8,10.599999999999907,0.0
0112-QWPNC,Male,61,Yes,0,Valyermo,1,49,Offer B,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,5997.3,Churned,Competitor,Competitor offered higher download speeds,4133.15,73.79999999999973,1.0
0114-IGABW,Female,40,Yes,0,Cambria,2,71,Offer A,No,Unknown,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,4145.9,Stayed,Not churned,Not churned,4135.75,10.149999999999636,0.0
0114-PEGZZ,Female,39,No,0,Round Mountain,0,33,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,5285.27,Stayed,Not churned,Not churned,3549.15,96.34999999999992,0.0
0114-RSRRW,Female,21,Yes,0,Klamath,9,10,Offer D,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,683.75,Stayed,Not churned,Not churned,199.5,11.75,0.0
0115-TFERT,Male,24,Yes,0,Fresno,1,21,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,3198.56,Churned,Attitude,Attitude of service provider,2335.2000000000003,18.100000000000364,1.0
0117-LFRMW,Male,52,Yes,1,Angwin,1,37,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,1448.8,Churned,Competitor,Competitor offered more data,1487.4,38.600000000000136,1.0
0118-JPNOY,Female,71,No,0,Le Grand,0,26,Unknown,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,3070.89,Stayed,Not churned,Not churned,2230.8,37.14999999999964,0.0
0121-SNYRK,Male,45,No,0,Redway,0,50,Offer B,No,Unknown,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,1748.9,Stayed,Not churned,Not churned,1770.0,21.09999999999991,0.0
0122-OAHPZ,Female,29,No,0,San Diego,0,7,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,698.56,Churned,Competitor,Competitor made better offer,516.9499999999999,5.699999999999932,1.0
0123-CRBRT,Female,62,Yes,0,Monterey Park,1,61,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,8405.34,Stayed,Not churned,Not churned,5374.099999999999,152.65000000000057,0.0
0125-LZQXK,Male,42,No,0,Big Oak Flat,0,15,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,2242.75,Churned,Attitude,Attitude of service provider,1520.25,33.700000000000045,1.0
0128-MKWSG,Female,51,No,2,Stevenson Ranch,0,26,Unknown,No,Unknown,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,1147.0,Stayed,Not churned,Not churned,1190.8,43.79999999999996,0.0
0129-KPTWJ,Male,39,Yes,0,North Highlands,9,72,Unknown,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,9139.19,Stayed,Not churned,Not churned,6814.8,67.44999999999982,0.0
0129-QMPDR,Male,64,Yes,0,La Puente,1,44,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,20.5,865.05,2070.65,Stayed,Not churned,Not churned,902.0,36.950000000000045,0.0
0130-SXOUN,Male,55,No,0,Glenhaven,0,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,9200.36,Stayed,Not churned,Not churned,5900.400000000001,76.49999999999909,0.0
0133-BMFZO,Female,40,No,0,Alhambra,0,2,Unknown,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,255.27,Churned,Competitor,Competitor offered higher download speeds,172.5,9.150000000000006,1.0
0134-XWXCE,Female,76,No,0,Santa Monica,0,44,Unknown,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,3589.82,Stayed,Not churned,Not churned,3293.4,25.34999999999945,0.0
0135-NMXAP,Female,57,No,0,Lodi,0,12,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,1224.96,Churned,Attitude,Attitude of support person,1077.0,24.59999999999991,1.0
0136-IFMYD,Male,71,Yes,0,Los Angeles,1,69,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,8904.54,Stayed,Not churned,Not churned,7586.55,47.69999999999982,0.0
0137-OCGAB,Female,25,No,0,Fairfield,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,81.43,Churned,Price,Lack of affordable download/upload speed,80.2,0.0,1.0
0137-UDEUO,Female,24,No,0,Stockton,0,3,Offer E,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.85,63.75,141.0,Churned,Price,Long distance charges,59.55,4.199999999999996,1.0
0139-IVFJG,Female,19,Yes,0,Temecula,10,2,Unknown,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,199.8,Joined,Not churned,Not churned,180.7,9.800000000000011,
0141-YEAYS,Female,77,No,0,Fallbrook,0,27,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,2481.24,Stayed,Not churned,Not churned,2334.15,66.90000000000009,0.0
0142-GVYSN,Male,57,No,0,Randsburg,0,26,Offer C,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,858.09,Stayed,Not churned,Not churned,527.8000000000001,16.550000000000068,0.0
0147-ESWWR,Female,73,Yes,0,Atascadero,9,39,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,4735.0,Stayed,Not churned,Not churned,3948.75,0.4000000000000909,0.0
0148-DCDOS,Male,41,No,0,Planada,0,25,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,3234.1,Churned,Competitor,Competitor had better devices,2367.5,5.400000000000091,1.0
0151-ONTOV,Female,43,No,0,Moorpark,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,110.71,Churned,Competitor,Competitor had better devices,70.9,0.0,1.0
0156-FVPTA,Male,48,Yes,0,Solvang,1,22,Offer D,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,1751.98,Churned,Attitude,Attitude of service provider,1192.4,39.700000000000045,1.0
0164-XAIRP,Female,51,No,0,La Mirada,0,24,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,19.55,470.2,725.56,Stayed,Not churned,Not churned,469.2000000000001,0.9999999999999432,0.0
0168-XZKBB,Female,34,Yes,0,Boron,8,19,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,1713.36,Stayed,Not churned,Not churned,1650.15,85.74999999999977,0.0
0174-QRVVY,Male,21,Yes,2,San Marcos,2,71,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,25.35,1847.55,2500.75,Stayed,Not churned,Not churned,1799.85,47.69999999999982,0.0
0177-PXBAT,Male,78,Yes,0,Desert Center,7,33,Unknown,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,4524.65,Stayed,Not churned,Not churned,3626.7,67.99999999999955,0.0
