Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Total_Internet_Services,Churn,Churn_status,Avg_Revenue_Per_Month,Refund_Ratio,Tenure_Group
Female,22,0,0,Keeler,93530,36.560498,-117.962461,0,3,Unknown,1,3.12,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,0,,0,22.186666666666667,0.0,0-6m
Female,34,1,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,1,12.43,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,0,1.0,1,31.5175,0.0,0-6m
Female,37,1,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,Unknown,0,0.0,0,1,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,2,1.0,1,30.5,0.0,0-6m
Female,37,1,3,Parlier,93648,36.622237,-119.521126,10,55,Unknown,1,35.04,0,1,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,6,0.0,0,138.25363636363636,0.0,4-6y
Male,42,1,3,Modesto,95358,37.612612,-121.108568,3,54,Unknown,1,19.7,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,0,0.0,0,39.8962962962963,0.0,4-6y
Male,64,0,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,1,37.7,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,0,0.0,0,55.03076923076923,0.014851831143416271,2-4y
Female,47,1,3,Eureka,95503,40.737431,-124.108897,5,69,Unknown,1,38.39,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,0,0.0,0,58.634927536231885,0.0,4-6y
Male,23,1,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,1,43.01,0,1,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,4,0.0,0,130.7816216216216,0.0,2-4y
Female,48,1,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,1,49.58,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,0,0.0,0,67.96571428571428,0.0,4-6y
Female,28,0,0,Calexico,92231,32.690654,-115.431225,0,67,Unknown,1,23.12,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,0,0.0,0,42.71507462686567,0.010667700940979977,4-6y
Male,33,1,1,Redding,96003,40.677649,-122.29467,4,20,Unknown,0,0.0,0,1,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,4,0.0,0,41.269999999999996,0.0,1-2y
Female,31,0,3,San Martin,95046,37.084697,-121.606417,0,43,Unknown,1,30.64,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,0,0.0,0,55.52720930232558,0.0,2-4y
Female,37,1,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,1,5.08,1,1,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,3,0.0,0,95.25454545454545,0.0,4-6y
Female,60,1,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,1,16.39,1,1,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,4,0.0,0,111.26542372881356,0.0,4-6y
Female,48,1,3,Huntington Park,90255,33.97803,-118.217141,3,12,Unknown,1,19.28,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,0,0.0,0,37.98833333333334,0.0,6-12m
Male,60,1,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,1,25.26,1,1,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,1,0.0,0,96.70444444444445,0.0,2-4y
Male,69,0,0,San Diego,92129,32.961064,-117.134917,0,2,Unknown,1,43.99,0,1,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,2,1.0,1,89.54,0.0,0-6m
Female,20,0,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,1,48.91,0,1,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,7,0.0,0,125.90814814814814,0.0,2-4y
Male,31,1,3,Santa Rosa,95405,38.439696,-122.668817,1,25,Unknown,1,23.69,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,0,0.0,0,47.1372,0.037694220276130105,2-4y
Male,46,1,0,San Jose,95126,37.327069,-121.916819,5,25,Unknown,1,6.45,0,1,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,4,0.0,0,69.094,0.02599357397169074,2-4y
Male,57,0,1,Tujunga,91042,34.296574,-118.244839,0,29,Unknown,0,0.0,0,1,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,5,0.0,0,42.420344827586206,0.009965940220616327,2-4y
Male,19,1,0,Visalia,93291,36.391777,-119.372842,5,72,Unknown,1,32.36,1,1,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,7,0.0,0,120.08500000000001,0.0,4-6y
Female,64,0,0,Lodi,95240,38.123544,-121.159078,0,14,Unknown,1,24.04,0,1,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,2,0.0,0,76.02928571428572,0.0,1-2y
Female,38,0,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,1,36.42,0,1,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,6,0.0,0,137.3342857142857,0.0,2-4y
Male,54,0,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,1,42.95,0,1,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,1,,0,87.25,0.0,0-6m
Male,50,0,0,Farmington,95230,37.956963,-120.863055,0,29,Unknown,1,2.05,0,1,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,4,0.0,0,92.65689655172415,0.0,2-4y
Male,25,0,0,Tulelake,96134,41.813521,-121.492666,0,64,Unknown,1,5.49,1,1,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,5,0.0,0,93.10796875,0.0,4-6y
Female,35,1,3,Coleville,96107,38.42528,-119.475741,1,39,Unknown,1,24.38,1,1,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,5,0.0,0,120.98,0.0,2-4y
Female,72,0,0,Ojai,93023,34.581308,-118.931948,0,40,Unknown,1,44.14,0,1,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,3,0.0,0,135.98,0.0,2-4y
Male,51,0,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,Unknown,1,37.69,1,1,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,6,1.0,1,138.61124999999998,0.0,2-4y
Female,78,0,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,1,11.59,0,1,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,3,1.0,1,124.34454545454545,0.0,6-12m
Female,30,1,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,1,42.66,1,1,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,1,0.0,0,95.085,0.0,0-6m
Male,58,0,0,Santa Rosa,95404,38.526941,-122.709096,0,30,Unknown,1,2.64,1,1,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,4,0.0,0,65.58833333333334,0.0,2-4y
Male,26,0,0,San Jose,95131,37.387027,-121.897775,0,27,Unknown,1,20.66,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,0,0.0,0,40.28222222222222,0.0,2-4y
Female,20,1,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,1,8.01,1,1,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,7,0.0,0,117.70649122807018,0.0,4-6y
Male,61,1,0,San Diego,92113,32.697098,-117.116587,10,58,Unknown,1,18.37,0,1,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,2,0.0,0,67.82379310344828,0.0026005521406891083,4-6y
Male,24,0,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,Unknown,1,25.71,1,1,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,5,0.0,0,101.46625,0.0,1-2y
Male,32,0,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,1,31.77,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,0,1.0,1,51.62,0.0,0-6m
Male,59,0,0,Los Angeles,90062,34.003553,-118.308933,0,1,Unknown,1,40.71,1,1,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,5,1.0,1,140.46,0.0,0-6m
Male,71,1,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,1,31.86,0,1,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,5,0.0,0,121.2803125,0.0,2-4y
Male,49,1,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,1,48.71,1,1,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,3,0.0,0,138.8475,0.0,1-2y
Male,61,1,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,1,39.55,1,1,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,7,1.0,1,122.39387755102041,0.0,4-6y
Female,40,1,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,0,0.0,0,1,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,7,0.0,0,58.39295774647887,0.0,4-6y
Female,39,0,0,Round Mountain,96084,40.923558,-122.059933,0,33,Unknown,1,49.69,1,1,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,6,0.0,0,160.159696969697,0.0,2-4y
Female,21,1,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,1,49.6,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,0,0.0,0,68.375,0.0,6-12m
Male,24,1,0,Fresno,93650,36.841655,-119.797113,1,21,Unknown,1,36.26,1,1,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,6,1.0,1,152.31238095238095,0.0,1-2y
Male,52,1,1,Angwin,94508,38.542448,-122.419923,1,37,Unknown,0,0.0,0,1,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,4,1.0,1,39.15675675675676,0.0,2-4y
Female,71,0,0,Le Grand,95333,37.249377,-120.249581,0,26,Unknown,1,33.74,0,1,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0.0,0,877.24,3070.89,3,0.0,0,118.11115384615384,0.0,2-4y
Male,45,0,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,0,0.0,0,1,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0,0.0,1748.9,3,0.0,0,34.978,0.0,4-6y
Female,29,0,0,San Diego,92122,32.85723,-117.209774,0,7,Unknown,1,28.62,1,1,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,2,1.0,1,99.7942857142857,0.01865265689418232,6-12m
Female,62,1,0,Monterey Park,91755,34.049172,-118.115022,1,61,Offer B,1,47.19,1,1,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0,2878.59,8405.34,8,0.0,0,137.79245901639345,0.0,4-6y
Male,42,0,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,Offer D,1,45.92,0,1,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0,688.8,2242.75,6,1.0,1,149.51666666666668,0.0,1-2y
Female,51,0,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26,Unknown,0,0.0,0,1,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,0.0,0,0.0,1147.0,5,0.0,0,44.11538461538461,0.0,2-4y
Male,39,1,0,North Highlands,95660,38.671295,-121.388251,9,72,Unknown,1,33.22,0,1,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0.0,0,2391.84,9139.19,5,0.0,0,126.93319444444445,0.0,4-6y
Male,64,1,0,La Puente,91746,34.038983,-117.991372,1,44,Unknown,1,27.4,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,20.5,865.05,0.0,0,1205.6,2070.65,0,0.0,0,47.060227272727275,0.0,2-4y
Male,55,0,0,Glenhaven,95443,39.045246,-122.743181,0,66,Offer A,1,48.78,1,1,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.36,3,0.0,0,139.39939393939395,0.003915064193140269,4-6y
Female,40,0,0,Alhambra,91803,34.074736,-118.145959,0,2,Unknown,1,36.81,0,1,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,4,1.0,1,127.635,0.0,0-6m
Female,76,0,0,Santa Monica,90403,34.031529,-118.491156,0,44,Unknown,1,7.72,0,1,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,6,0.0,0,81.58681818181819,0.0049891080889849625,2-4y
Female,57,0,0,Lodi,95240,38.123544,-121.159078,0,12,Offer D,1,14.38,1,1,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0.0,0,172.56,1224.96,3,1.0,1,102.08,0.0,6-12m
Male,71,1,0,Los Angeles,90001,33.973616,-118.24902,1,69,Unknown,1,18.41,1,1,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0.0,0,1270.29,8904.54,6,0.0,0,129.0513043478261,0.0,4-6y
Female,25,0,0,Fairfield,94533,38.287136,-122.02711,0,1,Offer E,1,1.23,1,1,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,2,1.0,1,81.43,0.0,0-6m
Female,24,0,0,Stockton,95204,37.974498,-121.319568,0,3,Offer E,1,25.75,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.85,63.75,0.0,0,77.25,141.0,0,1.0,1,47.0,0.0,0-6m
Female,19,1,0,Temecula,92592,33.507255,-117.029473,10,2,Unknown,1,4.65,0,1,Fiber Optic,53.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0.0,0,9.3,199.8,4,,0,99.9,0.0,0-6m
Female,77,0,0,Fallbrook,92028,33.362575,-117.299644,0,27,Unknown,1,2.97,1,1,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0.0,0,80.19,2481.24,3,0.0,0,91.89777777777778,0.0,2-4y
Male,57,0,0,Randsburg,93554,35.405722,-117.773354,0,26,Offer C,1,13.34,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0.0,0,346.84,858.09,0,0.0,0,33.003461538461536,0.0,2-4y
